Nuance,Libellé,Tendance
EXG,Extrême gauche,Gauche
COM,Communiste,Gauche
PG,Parti de Gauche,Gauche
SOC,Socialiste,Gauche
RDG,Radical de Gauche,Gauche
DVG,Divers gauche,Gauche
VEC,Europe Ecologie / Les Verts,Gauche
ECO,Ecologiste,Gauche
REG,Régionaliste,Gauche
AUT,Autres,
MODM,MODEM,Centre
M-NC,Majorité présidentielle,Centre
DVD,Divers droite,Droite
FN,Front National,Droite
EXD,Extrême droite,Droite
LEXG,Liste d'extrême-gauche,Gauche
LXG,Liste d'extrême-gauche,Gauche
EXG,Extrême-gauche,Gauche
LCOP,Liste du PCF et du Parti de gauche,Gauche
LPC,Liste du PCF,Gauche
LSOC,Liste du Parti socialiste,Gauche
LDVG,Liste divers gauche,Gauche
LVEC,Liste des Verts,Gauche
LVE,Liste des Verts,Gauche
LCMD,Liste centre-MoDem,Centre
LMAJ,Liste de la majorité,Droite
LDVD,Liste divers droite,Droite
LDSV,Liste souverainiste de droite,Droite
LFN,Liste du Front national,Droite
LEXD,Liste d'extrême-droite,Droite
LXD,Liste d'extrême-droite,Droite
LFG,Liste Front de Gauche,Gauche
LPG,Liste du Parti de Gauche,Gauche
LCOM,Liste du Parti communiste français,Gauche
LUG,Liste Union de la Gauche,Gauche
LDIV,Liste Divers,
LMDM,Liste Modem,Centre
LUC,Liste Union du Centre,Centre
LUDI,Liste Union Démocrates et Indépendants,Centre
LUMP,Liste Union pour un Mouvement Populaire,Droite
LUD,Liste Union de la Droite,Droite
CPNT,Chasse Pêche Nature Traditions,Droite
DIV,Divers,
UDFD,UDF-Mouvement Démocrate,Droite
MAJ,Majorité présidentielle,Centre
MPF,Mouvement pour la France,Droite
FG,Front de gauche,Gauche
CEN,Le Centre pour la France,Centre
ALLI,Alliance centriste,Centre
PRV,Parti radical,Centre
NCE,Nouveau Centre,Centre
FI,La France insoumise,Gauche
REM,La République en marche,Centre
MDM,Modem,Centre
UDI,Union des Démocrates et Indépendants,Centre
LR,Les Républicains,Droite
DLF,Debout la France,Droite
DXG,Divers extrême gauche,Gauche
NUP,Nouvelle union populaire écologique et sociale,Gauche
ENS,Ensemble ! (Majorité présidentielle),Centre
DVC,Divers centre,Centre
DSV,Droite souverainiste,Droite
REC,Reconquête !,Droite
RN,Rassemblement National,Droite
DXD,Divers extrême droite,Droite
LFI,La France insoumise,Gauche
LRDG,Parti radical de gauche,Gauche
LECO,Ecologiste,Gauche
LGJ,Gilets jaunes,
LREM,La République en marche,Centre
LDVC,Divers centre,Centre
LLR,Les Républicains,Droite
LDLF,Debout la France,Droite
LRN,Rassemblement National,Droite
LGC,Liste gauche-centristes,Gauche
LMC,Liste majorité-centristes,Centre
LNC,Non Communiqué,
LVEG,Liste EELV et gauche,Gauche
LUGE,Liste d'union à gauche avec des écologistes,Gauche
LUCG,Liste d'union au centre et à gauche,Centre
LUCD,Liste d'union au centre et à droite,Centre
LUXD,Liste d'union à l'extrême-droite,Droite
LMMD,Liste Majorité-MoDem,Centre
LCEN,Liste d'union du centre,Centre
LDLR,Liste Debout la République,Droite
DLR,Debout la République,Droite
LMP,Majorité présidentielle,Centre
LREG,Liste régionaliste,Gauche
LAUT,Autre liste,
LDV,Liste Divers,
